Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Format,100s,50s,200s
9.0,20,21,0,0,42.85,4,caught,1,ODI v Pakistan,Mohali,30-Mar-11,ODI,0,0,0
35.0,69,49,4,0,71.42,4,caught,2,ODI v Sri Lanka,Wankhede,02-Apr-11,ODI,0,0,0
14.0,15,12,2,0,116.66,3,caught,1,T20I v West Indies,Port of Spain,04-Jun-11,T20I,0,0,0
2.0,5,8,0,0,25,3,caught,2,ODI v West Indies,Port of Spain,06-Jun-11,ODI,0,0,0
81.0,118,103,6,1,78.64,3,caught,2,ODI v West Indies,Port of Spain,08-Jun-11,ODI,0,1,0
0.0,1,1,0,0,0,3,lbw,2,ODI v West Indies,North Sound,11-Jun-11,ODI,0,0,0
22.0,68,33,1,0,66.66,3,stumped,2,ODI v West Indies,North Sound,13-Jun-11,ODI,0,0,0
94.0,135,104,10,0,90.38,3,run out,1,ODI v West Indies,Kingston,16-Jun-11,ODI,0,1,0
4.0,13,10,1,0,40,5,caught,1,Test v West Indies,Kingston,20-Jun-11,Test,0,0,0
15.0,72,54,2,0,27.77,5,caught,3,Test v West Indies,Kingston,20-Jun-11,Test,0,0,0
0.0,1,2,0,0,0,5,caught,1,Test v West Indies,Bridgetown,28-Jun-11,Test,0,0,0
27.0,118,107,1,1,25.23,5,caught,3,Test v West Indies,Bridgetown,28-Jun-11,Test,0,0,0
30.0,62,53,2,0,56.6,5,caught,2,Test v West Indies,Roseau,06-Jul-11,Test,0,0,0
,,,,,,,,4,Test v West Indies,Roseau,06-Jul-11,Test,0,0,0
4.0,5,5,0,0,80,4,caught,1,T20I v England,Manchester,31-Aug-11,T20I,0,0,0
55.0,92,73,4,0,75.34,4,bowled,1,ODI v England,Chester-le-Street,03-Sep-11,ODI,0,1,0
9.0,9,9,0,0,100,4,caught,1,ODI v England,Southampton,06-Sep-11,ODI,0,0,0
7.0,18,18,0,0,38.88,4,caught,1,ODI v England,The Oval,09-Sep-11,ODI,0,0,0
16.0,40,36,1,0,44.44,4,caught,1,ODI v England,Lord's,11-Sep-11,ODI,0,0,0
107.0,102,93,9,1,115.05,4,hit wicket,1,ODI v England,Cardiff,16-Sep-11,ODI,1,0,0
37.0,70,63,0,0,58.73,4,caught,1,ODI v England,Hyderabad,14-Oct-11,ODI,0,0,0
112.0,134,98,16,0,114.28,4,not out,2,ODI v England,Delhi,17-Oct-11,ODI,1,0,0
35.0,42,30,5,0,116.66,4,lbw,2,ODI v England,Mohali,20-Oct-11,ODI,0,0,0
86.0,,99,11,0,86.86,4,not out,2,ODI v England,Wankhede,23-Oct-11,ODI,0,1,0
0.0,5,5,0,0,0,3,bowled,1,ODI v England,Eden Gardens,25-Oct-11,ODI,0,0,0
15.0,21,16,3,0,93.75,3,caught,1,T20I v England,Eden Gardens,29-Oct-11,T20I,0,0,0
52.0,154,111,5,0,46.84,6,caught,2,Test v West Indies,Wankhede,22-Nov-11,Test,0,1,0
63.0,136,114,3,1,55.26,6,caught,4,Test v West Indies,Wankhede,22-Nov-11,Test,0,1,0
3.0,13,6,0,0,50,4,bowled,2,ODI v West Indies,Cuttack,29-Nov-11,ODI,0,0,0
117.0,154,123,14,0,95.12,4,caught,2,ODI v West Indies,Visakhapatnam,02-Dec-11,ODI,1,0,0
20.0,21,30,3,0,66.66,4,lbw,2,ODI v West Indies,Ahmedabad,05-Dec-11,ODI,0,0,0
23.0,15,11,3,0,209.09,6,not out,1,ODI v West Indies,Indore,08-Dec-11,ODI,0,0,0
80.0,99,85,5,0,94.11,5,caught,1,ODI v West Indies,Chennai,11-Dec-11,ODI,0,1,0
11.0,28,21,1,0,52.38,7,caught,2,Test v Australia,Melbourne,26-Dec-11,Test,0,0,0
0.0,3,1,0,0,0,6,lbw,4,Test v Australia,Melbourne,26-Dec-11,Test,0,0,0
23.0,50,41,3,0,56.09,6,caught,1,Test v Australia,Sydney,03-Jan-12,Test,0,0,0
9.0,35,24,2,0,37.5,6,lbw,3,Test v Australia,Sydney,03-Jan-12,Test,0,0,0
44.0,107,81,6,0,54.32,6,caught,1,Test v Australia,Perth,13-Jan-12,Test,0,0,0
75.0,191,136,9,0,55.14,6,caught,3,Test v Australia,Perth,13-Jan-12,Test,0,1,0
116.0,237,213,11,1,54.46,6,lbw,2,Test v Australia,Adelaide,24-Jan-12,Test,1,0,0
22.0,96,62,2,0,35.48,6,run out,4,Test v Australia,Adelaide,24-Jan-12,Test,0,0,0
22.0,30,21,0,1,104.76,3,caught,2,T20I v Australia,Sydney,01-Feb-12,T20I,0,0,0
31.0,29,24,3,0,129.16,3,caught,2,T20I v Australia,Melbourne,03-Feb-12,T20I,0,0,0
31.0,30,34,3,0,91.17,3,caught,2,ODI v Australia,Melbourne,05-Feb-12,ODI,0,0,0
77.0,156,94,8,1,81.91,3,run out,2,ODI v Sri Lanka,Perth,08-Feb-12,ODI,0,1,0
18.0,41,28,1,0,64.28,3,caught,2,ODI v Australia,Adelaide,12-Feb-12,ODI,0,0,0
15.0,32,25,1,0,60,3,lbw,2,ODI v Sri Lanka,Adelaide,14-Feb-12,ODI,0,0,0
12.0,44,25,0,0,48,3,caught,2,ODI v Australia,Brisbane,19-Feb-12,ODI,0,0,0
66.0,116,83,2,0,79.51,4,caught,2,ODI v Sri Lanka,Brisbane,21-Feb-12,ODI,0,1,0
21.0,36,27,2,0,77.77,4,caught,2,ODI v Australia,Sydney,26-Feb-12,ODI,0,0,0
133.0,133,86,16,2,154.65,4,not out,2,ODI v Sri Lanka,Hobart,28-Feb-12,ODI,1,0,0
108.0,148,120,7,0,90,3,caught,1,ODI v Sri Lanka,Mirpur,13-Mar-12,ODI,1,0,0
66.0,126,82,5,0,80.48,3,bowled,1,ODI v Bangladesh,Mirpur,16-Mar-12,ODI,0,1,0
183.0,211,148,22,1,123.64,3,caught,2,ODI v Pakistan,Mirpur,18-Mar-12,ODI,1,0,0
,,,,,,,,2,T20I v South Africa,Johannesburg,30-Mar-12,T20I,0,0,0
106.0,158,113,9,0,93.8,3,caught,1,ODI v Sri Lanka,Hambantota,21-Jul-12,ODI,1,0,0
1.0,6,5,0,0,20,3,caught,1,ODI v Sri Lanka,Hambantota,24-Jul-12,ODI,0,0,0
38.0,80,65,2,0,58.46,3,caught,2,ODI v Sri Lanka,Colombo (RPS),28-Jul-12,ODI,0,0,0
128.0,187,119,12,1,107.56,3,not out,2,ODI v Sri Lanka,Colombo (RPS),31-Jul-12,ODI,1,0,0
23.0,42,35,2,0,65.71,3,lbw,1,ODI v Sri Lanka,Pallekele,04-Aug-12,ODI,0,0,0
68.0,65,48,11,1,141.66,3,caught,1,T20I v Sri Lanka,Pallekele,07-Aug-12,T20I,0,1,0
58.0,143,107,8,0,54.2,5,caught,1,Test v New Zealand,Hyderabad,23-Aug-12,Test,0,1,0
103.0,284,193,14,1,53.36,5,lbw,2,Test v New Zealand,Bengaluru,31-Aug-12,Test,1,0,0
51.0,130,82,9,0,62.19,5,not out,4,Test v New Zealand,Bengaluru,31-Aug-12,Test,0,1,0
70.0,67,41,10,1,170.73,2,caught,2,T20I v New Zealand,Chennai,11-Sep-12,T20I,0,1,0
50.0,60,39,4,2,128.2,3,caught,1,T20I v Afghanistan,Colombo (RPS),19-Sep-12,T20I,0,1,0
40.0,33,32,6,0,125,3,caught,1,T20I v England,Colombo (RPS),23-Sep-12,T20I,0,0,0
15.0,18,13,2,0,115.38,3,caught,1,T20I v Australia,Colombo (RPS),28-Sep-12,T20I,0,0,0
78.0,61,61,8,2,127.86,3,not out,2,T20I v Pakistan,Colombo (RPS),30-Sep-12,T20I,0,1,0
2.0,5,6,0,0,33.33,3,caught,1,T20I v South Africa,Colombo (RPS),02-Oct-12,T20I,0,0,0
19.0,70,67,3,0,28.35,5,bowled,1,Test v England,Ahmedabad,15-Nov-12,Test,0,0,0
14.0,17,21,3,0,66.66,3,not out,4,Test v England,Ahmedabad,15-Nov-12,Test,0,0,0
19.0,65,55,3,0,34.54,5,caught,1,Test v England,Wankhede,23-Nov-12,Test,0,0,0
7.0,16,13,1,0,53.84,5,caught,3,Test v England,Wankhede,23-Nov-12,Test,0,0,0
6.0,31,24,1,0,25,5,caught,1,Test v England,Eden Gardens,05-Dec-12,Test,0,0,0
20.0,86,60,3,0,33.33,5,caught,3,Test v England,Eden Gardens,05-Dec-12,Test,0,0,0
103.0,356,295,11,0,34.91,5,lbw,2,Test v England,Nagpur,13-Dec-12,Test,1,0,0
21.0,35,17,2,0,123.52,3,bowled,2,T20I v England,Pune,20-Dec-12,T20I,0,0,0
38.0,25,20,7,0,190,3,lbw,1,T20I v England,Wankhede,22-Dec-12,T20I,0,0,0
9.0,15,11,1,0,81.81,3,caught,1,T20I v Pakistan,Bengaluru,25-Dec-12,T20I,0,0,0
27.0,31,22,3,0,122.72,3,run out,1,T20I v Pakistan,Ahmedabad,28-Dec-12,T20I,0,0,0
0.0,9,5,0,0,0,3,bowled,1,ODI v Pakistan,Chennai,30-Dec-12,ODI,0,0,0
6.0,12,9,1,0,66.66,3,caught,2,ODI v Pakistan,Eden Gardens,03-Jan-13,ODI,0,0,0
7.0,25,17,1,0,41.17,3,caught,1,ODI v Pakistan,Delhi,06-Jan-13,ODI,0,0,0
15.0,45,22,1,0,68.18,3,caught,2,ODI v England,Rajkot,11-Jan-13,ODI,0,0,0
37.0,86,54,1,1,68.51,3,caught,1,ODI v England,Kochi,15-Jan-13,ODI,0,0,0
77.0,110,79,9,2,97.46,3,not out,2,ODI v England,Ranchi,19-Jan-13,ODI,0,1,0
26.0,44,33,3,0,78.78,3,caught,2,ODI v England,Mohali,23-Jan-13,ODI,0,0,0
0.0,1,1,0,0,0,3,caught,1,ODI v England,Dharamsala,27-Jan-13,ODI,0,0,0
107.0,266,206,15,1,51.94,5,caught,2,Test v Australia,Chennai,22-Feb-13,Test,1,0,0
,,,,,,,,4,Test v Australia,Chennai,22-Feb-13,Test,0,0,0
34.0,119,92,3,0,36.95,5,caught,2,Test v Australia,Hyderabad,02-Mar-13,Test,0,0,0
67.0,157,129,7,1,51.93,5,not out,2,Test v Australia,Mohali,14-Mar-13,Test,0,1,0
34.0,80,61,6,0,55.73,3,caught,4,Test v Australia,Mohali,14-Mar-13,Test,0,0,0
1.0,11,8,0,0,12.5,3,lbw,2,Test v Australia,Delhi,22-Mar-13,Test,0,0,0
41.0,76,60,4,0,68.33,3,lbw,4,Test v Australia,Delhi,22-Mar-13,Test,0,0,0
31.0,46,41,2,0,75.6,3,caught,1,ODI v South Africa,Cardiff,06-Jun-13,ODI,0,0,0
22.0,18,18,4,0,122.22,3,bowled,2,ODI v West Indies,The Oval,11-Jun-13,ODI,0,0,0
22.0,36,27,3,0,81.48,3,not out,2,ODI v Pakistan,Birmingham,15-Jun-13,ODI,0,0,0
58.0,80,64,4,1,90.62,3,not out,2,ODI v Sri Lanka,Cardiff,20-Jun-13,ODI,0,1,0
43.0,66,34,4,1,126.47,3,caught,1,ODI v England,Birmingham,23-Jun-13,ODI,0,0,0
11.0,19,21,0,1,52.38,3,caught,1,ODI v West Indies,Kingston,30-Jun-13,ODI,0,0,0
2.0,6,5,0,0,40,4,caught,2,ODI v Sri Lanka,Kingston,02-Jul-13,ODI,0,0,0
102.0,120,83,13,2,122.89,3,caught,1,ODI v West Indies,Port of Spain,05-Jul-13,ODI,1,0,0
31.0,62,52,4,0,59.61,3,lbw,1,ODI v Sri Lanka,Port of Spain,09-Jul-13,ODI,0,0,0
2.0,8,5,0,0,40,3,caught,2,ODI v Sri Lanka,Port of Spain,11-Jul-13,ODI,0,0,0
115.0,133,108,13,1,106.48,3,caught,2,ODI v Zimbabwe,Harare,24-Jul-13,ODI,1,0,0
14.0,35,18,2,0,77.77,3,caught,1,ODI v Zimbabwe,Harare,26-Jul-13,ODI,0,0,0
68.0,128,88,5,1,77.27,3,not out,2,ODI v Zimbabwe,Harare,28-Jul-13,ODI,0,1,0
,,,,,,,,2,ODI v Zimbabwe,Bulawayo,01-Aug-13,ODI,0,0,0
,,,,,,,,2,ODI v Zimbabwe,Bulawayo,03-Aug-13,ODI,0,0,0
29.0,26,22,2,1,131.81,4,caught,2,T20I v Australia,Rajkot,10-Oct-13,T20I,0,0,0
61.0,121,85,6,0,71.76,3,lbw,2,ODI v Australia,Pune,13-Oct-13,ODI,0,1,0
100.0,82,52,8,7,192.3,3,not out,2,ODI v Australia,Jaipur,16-Oct-13,ODI,1,0,0
68.0,121,73,9,0,93.15,3,caught,1,ODI v Australia,Mohali,19-Oct-13,ODI,0,1,0
,,,,,,,,2,ODI v Australia,Ranchi,23-Oct-13,ODI,0,0,0
115.0,104,66,18,1,174.24,3,not out,2,ODI v Australia,Nagpur,30-Oct-13,ODI,1,0,0
0.0,4,3,0,0,0,3,run out,1,ODI v Australia,Bengaluru,02-Nov-13,ODI,0,0,0
3.0,13,5,0,0,60,5,caught,2,Test v West Indies,Eden Gardens,06-Nov-13,Test,0,0,0
57.0,80,78,5,0,73.07,5,caught,2,Test v West Indies,Wankhede,14-Nov-13,Test,0,1,0
86.0,120,84,9,2,102.38,3,caught,2,ODI v West Indies,Kochi,21-Nov-13,ODI,0,1,0
99.0,159,100,9,0,99,3,caught,1,ODI v West Indies,Visakhapatnam,24-Nov-13,ODI,0,1,0
19.0,19,18,3,0,105.55,3,caught,2,ODI v West Indies,Kanpur,27-Nov-13,ODI,0,0,0
31.0,41,35,5,0,88.57,3,caught,2,ODI v South Africa,Johannesburg,05-Dec-13,ODI,0,0,0
0.0,7,5,0,0,0,3,caught,2,ODI v South Africa,Durban,08-Dec-13,ODI,0,0,0
,,,,,,,,-,ODI v South Africa,Centurion,11-Dec-13,ODI,0,0,0
119.0,257,181,18,0,65.74,4,caught,1,Test v South Africa,Johannesburg,18-Dec-13,Test,1,0,0
96.0,254,193,9,0,49.74,4,caught,3,Test v South Africa,Johannesburg,18-Dec-13,Test,0,1,0
46.0,114,87,5,0,52.87,4,caught,1,Test v South Africa,Durban,26-Dec-13,Test,0,0,0
11.0,26,27,1,0,40.74,4,caught,3,Test v South Africa,Durban,26-Dec-13,Test,0,0,0
123.0,179,111,11,2,110.81,3,caught,2,ODI v New Zealand,Napier,19-Jan-14,ODI,1,0,0
78.0,88,65,7,2,120,3,caught,2,ODI v New Zealand,Hamilton,22-Jan-14,ODI,0,1,0
6.0,27,20,1,0,30,3,caught,2,ODI v New Zealand,Auckland,25-Jan-14,ODI,0,0,0
2.0,14,10,0,0,20,2,caught,1,ODI v New Zealand,Hamilton,28-Jan-14,ODI,0,0,0
82.0,129,78,7,3,105.12,3,caught,2,ODI v New Zealand,Wellington,31-Jan-14,ODI,0,1,0
4.0,17,13,1,0,30.76,4,caught,2,Test v New Zealand,Auckland,06-Feb-14,Test,0,0,0
67.0,131,102,12,0,65.68,4,caught,4,Test v New Zealand,Auckland,06-Feb-14,Test,0,1,0
38.0,131,93,4,0,40.86,5,caught,2,Test v New Zealand,Wellington,14-Feb-14,Test,0,0,0
105.0,195,135,15,1,77.77,4,not out,4,Test v New Zealand,Wellington,14-Feb-14,Test,1,0,0
136.0,157,122,16,2,111.47,3,bowled,2,ODI v Bangladesh,Fatullah,26-Feb-14,ODI,1,0,0
48.0,66,51,4,1,94.11,3,bowled,1,ODI v Sri Lanka,Fatullah,28-Feb-14,ODI,0,0,0
5.0,29,11,0,0,45.45,3,caught,1,ODI v Pakistan,Mirpur,02-Mar-14,ODI,0,0,0
