Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Ground,Start Date,Format,Oppositions,100s,50s,200s
13.0,34,25,0,0,52,4,run out,1,Harare,03-Jun-10,ODI,Zimbabwe,0,0,0
32.0,43,40,1,0,80,5,bowled,1,Harare,05-Jun-10,ODI,Sri Lanka,0,0,0
10.0,22,15,1,0,66.66,4,stumped,2,Harare,12-Jun-10,T20I,Zimbabwe,0,0,0
0.0,1,0,0,0,,5,not out,2,Harare,13-Jun-10,T20I,Zimbabwe,0,0,0
0.0,1,1,0,0,0,4,lbw,2,Dambulla,16-Jun-10,ODI,Bangladesh,0,0,0
22.0,20,24,2,0,91.66,5,lbw,2,Dambulla,19-Jun-10,ODI,Pakistan,0,0,0
69.0,118,73,7,0,94.52,4,run out,1,Dambulla,22-Jun-10,ODI,Sri Lanka,0,1,0
41.0,80,52,3,0,78.84,5,caught,1,Dambulla,24-Jun-10,ODI,Sri Lanka,0,0,0
4.0,13,11,0,0,36.36,3,caught,2,Dambulla,10-Aug-10,ODI,New Zealand,0,0,0
0.0,3,2,0,0,0,4,lbw,2,Dambulla,16-Aug-10,ODI,Sri Lanka,0,0,0
11.0,,21,2,0,52.38,3,lbw,1,Dambulla,22-Aug-10,ODI,Sri Lanka,0,0,0
5.0,16,9,0,0,55.55,7,stumped,2,Dambulla,28-Aug-10,ODI,Sri Lanka,0,0,0
44.0,56,48,4,1,91.66,5,caught,2,Bengaluru,07-Dec-10,ODI,New Zealand,0,0,0
,,,,,,,,2,Chennai,10-Dec-10,ODI,New Zealand,0,0,0
53.0,38,34,5,2,155.88,3,caught,1,Durban,09-Jan-11,T20I,South Africa,0,1,0
11.0,28,27,1,0,40.74,4,caught,2,Durban,12-Jan-11,ODI,South Africa,0,0,0
9.0,29,14,1,0,64.28,7,lbw,1,Johannesburg,15-Jan-11,ODI,South Africa,0,0,0
23.0,67,45,2,0,51.11,1,bowled,2,Cape Town,18-Jan-11,ODI,South Africa,0,0,0
1.0,6,6,0,0,16.66,1,caught,2,Gqeberha,21-Jan-11,ODI,South Africa,0,0,0
5.0,15,8,1,0,62.5,2,bowled,2,Centurion,23-Jan-11,ODI,South Africa,0,0,0
26.0,33,23,0,2,113.04,6,bowled,1,Port of Spain,04-Jun-11,T20I,West Indies,0,0,0
68.0,131,75,3,1,90.66,5,not out,2,Port of Spain,06-Jun-11,ODI,West Indies,0,1,0
7.0,8,14,1,0,50,5,not out,2,Port of Spain,08-Jun-11,ODI,West Indies,0,0,0
86.0,137,91,5,2,94.5,5,not out,2,North Sound,11-Jun-11,ODI,West Indies,0,1,0
39.0,60,47,0,1,82.97,5,caught,2,North Sound,13-Jun-11,ODI,West Indies,0,0,0
57.0,105,72,2,1,79.16,5,bowled,1,Kingston,16-Jun-11,ODI,West Indies,0,1,0
1.0,7,3,0,0,33.33,5,stumped,1,Manchester,31-Aug-11,T20I,England,0,0,0
0.0,1,1,0,0,0,5,retired notout,1,Chester-le-Street,03-Sep-11,ODI,England,0,0,0
72.0,185,99,3,1,72.72,5,bowled,2,Cuttack,29-Nov-11,ODI,West Indies,0,1,0
90.0,131,98,7,2,91.83,5,not out,2,Visakhapatnam,02-Dec-11,ODI,West Indies,0,1,0
95.0,151,100,10,1,95,5,run out,2,Ahmedabad,05-Dec-11,ODI,West Indies,0,1,0
27.0,21,16,3,0,168.75,5,bowled,1,Indore,08-Dec-11,ODI,West Indies,0,0,0
21.0,31,26,1,0,80.76,6,bowled,1,Chennai,11-Dec-11,ODI,West Indies,0,0,0
0.0,2,1,0,0,0,5,bowled,2,Sydney,01-Feb-12,T20I,Australia,0,0,0
,,,,,,,,2,Melbourne,03-Feb-12,T20I,Australia,0,0,0
21.0,34,21,2,0,100,4,caught,2,Melbourne,05-Feb-12,ODI,Australia,0,0,0
10.0,29,17,1,0,58.82,4,caught,2,Perth,08-Feb-12,ODI,Sri Lanka,0,0,0
33.0,49,41,1,1,80.48,4,caught,2,Adelaide,12-Feb-12,ODI,Australia,0,0,0
15.0,30,27,2,0,55.55,4,run out,2,Adelaide,14-Feb-12,ODI,Sri Lanka,0,0,0
0.0,6,5,0,0,0,4,caught,2,Brisbane,19-Feb-12,ODI,Australia,0,0,0
,,,,,,,,1,Mirpur,13-Mar-12,ODI,Sri Lanka,0,0,0
4.0,9,6,0,0,66.66,6,run out,1,Mirpur,16-Mar-12,ODI,Bangladesh,0,0,0
68.0,109,83,5,1,81.92,4,caught,2,Mirpur,18-Mar-12,ODI,Pakistan,0,1,0
,,,,,,,,2,Johannesburg,30-Mar-12,T20I,South Africa,0,0,0
5.0,10,8,0,0,62.5,4,bowled,1,Hambantota,21-Jul-12,ODI,Sri Lanka,0,0,0
0.0,5,5,0,0,0,4,bowled,1,Hambantota,24-Jul-12,ODI,Sri Lanka,0,0,0
