Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Ground,Start Date,Format,Oppositions,100s,50s,200s
71.0,94,62,6,4,114.51,2,caught,2,Indore,24-Sep-17,ODI,Australia,0,1,0
65.0,93,55,1,5,118.18,2,run out,2,Bengaluru,28-Sep-17,ODI,Australia,0,1,0
125.0,165,109,11,5,114.67,2,caught,2,Nagpur,01-Oct-17,ODI,Australia,1,0,0
11.0,5,7,1,1,157.14,1,bowled,2,Ranchi,07-Oct-17,T20I,Australia,0,0,0
8.0,3,4,2,0,200,1,lbw,1,Guwahati,10-Oct-17,T20I,Australia,0,0,0
20.0,27,18,0,2,111.11,1,bowled,1,Wankhede,22-Oct-17,ODI,New Zealand,0,0,0
7.0,17,19,1,0,36.84,1,caught,2,Pune,25-Oct-17,ODI,New Zealand,0,0,0
147.0,168,138,18,2,106.52,1,caught,1,Kanpur,29-Oct-17,ODI,New Zealand,1,0,0
80.0,85,55,6,4,145.45,1,caught,1,Delhi,01-Nov-17,T20I,New Zealand,0,1,0
5.0,9,6,1,0,83.33,1,caught,2,Rajkot,04-Nov-17,T20I,New Zealand,0,0,0
8.0,11,9,1,0,88.88,1,caught,1,Thiruvananthapuram,07-Nov-17,T20I,New Zealand,0,0,0
102.0,191,160,8,1,63.75,6,not out,2,Nagpur,24-Nov-17,Test,Sri Lanka,1,0,0
65.0,129,102,7,2,63.72,6,caught,1,Delhi,02-Dec-17,Test,Sri Lanka,0,1,0
50.0,77,49,5,0,102.04,6,not out,3,Delhi,02-Dec-17,Test,Sri Lanka,0,1,0
2.0,19,13,0,0,15.38,1,caught,1,Dharamsala,10-Dec-17,ODI,Sri Lanka,0,0,0
208.0,212,153,13,12,135.94,1,not out,1,Mohali,13-Dec-17,ODI,Sri Lanka,0,0,1
7.0,14,14,0,1,50,1,bowled,2,Visakhapatnam,17-Dec-17,ODI,Sri Lanka,0,0,0
17.0,21,13,2,0,130.76,1,caught,1,Cuttack,20-Dec-17,T20I,Sri Lanka,0,0,0
118.0,61,43,12,10,274.41,1,caught,1,Indore,22-Dec-17,T20I,Sri Lanka,1,0,0
27.0,31,20,4,1,135,1,caught,2,Wankhede,24-Dec-17,T20I,Sri Lanka,0,0,0
11.0,95,59,1,0,18.64,5,lbw,2,Cape Town,05-Jan-18,Test,South Africa,0,0,0
10.0,53,30,0,0,33.33,5,bowled,4,Cape Town,05-Jan-18,Test,South Africa,0,0,0
10.0,34,27,2,0,37.03,5,lbw,2,Centurion,13-Jan-18,Test,South Africa,0,0,0
47.0,102,74,6,1,63.51,6,caught,4,Centurion,13-Jan-18,Test,South Africa,0,0,0
20.0,25,30,2,1,66.66,1,caught,2,Durban,01-Feb-18,ODI,South Africa,0,0,0
15.0,19,17,2,1,88.23,1,caught,2,Centurion,04-Feb-18,ODI,South Africa,0,0,0
0.0,4,6,0,0,0,1,caught,1,Cape Town,07-Feb-18,ODI,South Africa,0,0,0
5.0,19,13,1,0,38.46,1,caught,1,Johannesburg,10-Feb-18,ODI,South Africa,0,0,0
115.0,179,126,11,4,91.26,2,caught,1,Gqeberha,13-Feb-18,ODI,South Africa,1,0,0
15.0,14,13,3,0,115.38,2,caught,2,Centurion,16-Feb-18,ODI,South Africa,0,0,0
21.0,8,9,2,2,233.33,1,caught,1,Johannesburg,18-Feb-18,T20I,South Africa,0,0,0
0.0,5,1,0,0,0,2,lbw,1,Centurion,21-Feb-18,T20I,South Africa,0,0,0
11.0,9,8,2,0,137.5,1,lbw,1,Cape Town,24-Feb-18,T20I,South Africa,0,0,0
0.0,,4,0,0,0,1,caught,1,Colombo (RPS),06-Mar-18,T20I,Sri Lanka,0,0,0
17.0,,13,3,0,130.76,1,bowled,2,Colombo (RPS),08-Mar-18,T20I,Bangladesh,0,0,0
11.0,,7,1,1,157.14,1,caught,2,Colombo (RPS),12-Mar-18,T20I,Sri Lanka,0,0,0
89.0,,61,5,5,145.9,1,run out,1,Colombo (RPS),14-Mar-18,T20I,Bangladesh,0,1,0
56.0,,42,4,3,133.33,2,caught,2,Colombo (RPS),18-Mar-18,T20I,Bangladesh,0,1,0
97.0,87,61,8,5,159.01,1,bowled,1,Dublin (Malahide),27-Jun-18,T20I,Ireland,0,1,0
0.0,,2,0,0,0,4,caught,1,Dublin (Malahide),29-Jun-18,T20I,Ireland,0,0,0
32.0,,30,3,1,106.66,2,caught,2,Manchester,03-Jul-18,T20I,England,0,0,0
5.0,,9,1,0,55.55,1,caught,1,Cardiff,06-Jul-18,T20I,England,0,0,0
100.0,,56,11,5,178.57,1,not out,2,Bristol,08-Jul-18,T20I,England,1,0,0
137.0,,114,15,4,120.17,1,not out,2,Nottingham,12-Jul-18,ODI,England,1,0,0
15.0,,26,2,0,57.69,1,bowled,2,Lord's,14-Jul-18,ODI,England,0,0,0
2.0,24,18,0,0,11.11,1,caught,1,Leeds,17-Jul-18,ODI,England,0,0,0
23.0,,22,4,0,104.54,1,caught,1,Dubai (DICS),18-Sep-18,ODI,Hong Kong,0,0,0
52.0,,39,6,3,133.33,1,bowled,2,Dubai (DICS),19-Sep-18,ODI,Pakistan,0,1,0
83.0,,104,5,3,79.8,1,not out,2,Dubai (DICS),21-Sep-18,ODI,Bangladesh,0,1,0
111.0,,119,7,4,93.27,1,not out,2,Dubai (DICS),23-Sep-18,ODI,Pakistan,1,0,0
48.0,,55,3,3,87.27,1,caught,2,Dubai (DICS),28-Sep-18,ODI,Bangladesh,0,0,0
152.0,,117,15,8,129.91,1,not out,2,Guwahati,21-Oct-18,ODI,West Indies,1,0,0
4.0,14,8,1,0,50,1,caught,1,Visakhapatnam,24-Oct-18,ODI,West Indies,0,0,0
8.0,,9,2,0,88.88,1,bowled,2,Pune,27-Oct-18,ODI,West Indies,0,0,0
162.0,,137,20,4,118.24,1,caught,1,Brabourne,29-Oct-18,ODI,West Indies,1,0,0
63.0,65,56,5,4,112.5,1,not out,2,Thiruvananthapuram,01-Nov-18,ODI,West Indies,0,1,0
6.0,,6,1,0,100,1,caught,2,Eden Gardens,04-Nov-18,T20I,West Indies,0,0,0
111.0,95,61,8,7,181.96,1,not out,1,Lucknow,06-Nov-18,T20I,West Indies,1,0,0
4.0,,6,1,0,66.66,2,caught,2,Chennai,11-Nov-18,T20I,West Indies,0,0,0
7.0,,8,0,0,87.5,1,caught,2,Brisbane,21-Nov-18,T20I,Australia,0,0,0
,,,,,,,,-,Melbourne,23-Nov-18,T20I,Australia,0,0,0
23.0,,16,1,2,143.75,1,bowled,2,Sydney,25-Nov-18,T20I,Australia,0,0,0
37.0,71,61,2,3,60.65,6,caught,1,Adelaide,06-Dec-18,Test,Australia,0,0,0
1.0,15,6,0,0,16.66,6,caught,3,Adelaide,06-Dec-18,Test,Australia,0,0,0
63.0,186,114,5,0,55.26,6,not out,1,Melbourne,26-Dec-18,Test,Australia,0,1,0
5.0,28,18,0,0,27.77,6,caught,3,Melbourne,26-Dec-18,Test,Australia,0,0,0
133.0,204,129,10,6,103.1,1,caught,2,Sydney,12-Jan-19,ODI,Australia,1,0,0
43.0,71,52,2,2,82.69,1,caught,2,Adelaide,15-Jan-19,ODI,Australia,0,0,0
9.0,,17,1,0,52.94,1,caught,2,Melbourne,18-Jan-19,ODI,Australia,0,0,0
11.0,38,24,1,0,45.83,1,caught,2,Napier,23-Jan-19,ODI,New Zealand,0,0,0
87.0,116,96,9,3,90.62,1,caught,1,Mount Maunganui,26-Jan-19,ODI,New Zealand,0,1,0
62.0,115,77,3,2,80.51,1,stumped,2,Mount Maunganui,28-Jan-19,ODI,New Zealand,0,1,0
7.0,33,23,0,0,30.43,1,caught,1,Hamilton,31-Jan-19,ODI,New Zealand,0,0,0
2.0,16,16,0,0,12.5,1,bowled,1,Wellington,03-Feb-19,ODI,New Zealand,0,0,0
1.0,10,5,0,0,20,1,caught,2,Wellington,06-Feb-19,T20I,New Zealand,0,0,0
50.0,40,29,3,4,172.41,1,caught,2,Auckland,08-Feb-19,T20I,New Zealand,0,1,0
38.0,63,32,3,0,118.75,2,caught,2,Hamilton,10-Feb-19,T20I,New Zealand,0,0,0
5.0,11,8,0,0,62.5,1,caught,1,Visakhapatnam,24-Feb-19,T20I,Australia,0,0,0
37.0,,66,5,0,56.06,1,caught,2,Hyderabad,02-Mar-19,ODI,Australia,0,0,0
0.0,,6,0,0,0,1,caught,1,Nagpur,05-Mar-19,ODI,Australia,0,0,0
14.0,,14,2,1,100,2,lbw,2,Ranchi,08-Mar-19,ODI,Australia,0,0,0
95.0,,92,7,2,103.26,1,caught,1,Mohali,10-Mar-19,ODI,Australia,0,1,0
56.0,,89,4,0,62.92,1,stumped,2,Delhi,13-Mar-19,ODI,Australia,0,1,0
122.0,212,144,13,2,84.72,2,not out,2,Southampton,05-Jun-19,ODI,South Africa,1,0,0
57.0,101,70,3,1,81.42,1,caught,1,The Oval,09-Jun-19,ODI,Australia,0,1,0
140.0,153,113,14,3,123.89,2,caught,1,Manchester,16-Jun-19,ODI,Pakistan,1,0,0
1.0,60,10,0,0,10,2,bowled,1,Southampton,22-Jun-19,ODI,Afghanistan,0,0,0
18.0,28,23,1,1,78.26,2,caught,1,Manchester,27-Jun-19,ODI,West Indies,0,0,0
102.0,152,109,15,0,93.57,2,caught,2,Birmingham,30-Jun-19,ODI,England,1,0,0
104.0,121,92,7,5,113.04,2,caught,1,Birmingham,02-Jul-19,ODI,Bangladesh,1,0,0
103.0,133,94,14,2,109.57,2,caught,2,Leeds,06-Jul-19,ODI,Sri Lanka,1,0,0
1.0,7,4,0,0,25,2,caught,2,Manchester,09-Jul-19,ODI,New Zealand,0,0,0
24.0,,25,2,2,96,1,caught,2,Lauderhill,03-Aug-19,T20I,West Indies,0,0,0
67.0,,51,6,3,131.37,1,caught,1,Lauderhill,04-Aug-19,T20I,West Indies,0,1,0
,,,,,,,,-,Providence,08-Aug-19,ODI,West Indies,0,0,0
18.0,75,34,2,0,52.94,2,caught,1,Port of Spain,11-Aug-19,ODI,West Indies,0,0,0
10.0,13,6,2,0,166.66,1,run out,2,Port of Spain,14-Aug-19,ODI,West Indies,0,0,0
12.0,21,12,0,2,100,1,lbw,2,Mohali,18-Sep-19,T20I,South Africa,0,0,0
9.0,11,8,2,0,112.5,2,caught,1,Bengaluru,22-Sep-19,T20I,South Africa,0,0,0
176.0,,244,23,6,72.13,2,stumped,1,Visakhapatnam,02-Oct-19,Test,South Africa,1,0,0
127.0,,149,10,7,85.23,2,stumped,3,Visakhapatnam,02-Oct-19,Test,South Africa,1,0,0
14.0,,35,1,0,40,2,caught,1,Pune,10-Oct-19,Test,South Africa,0,0,0
212.0,,255,28,6,83.13,2,caught,1,Ranchi,19-Oct-19,Test,South Africa,0,0,1
9.0,,5,2,0,180,1,lbw,1,Delhi,03-Nov-19,T20I,Bangladesh,0,0,0
85.0,,43,6,6,197.67,1,caught,2,Rajkot,07-Nov-19,T20I,Bangladesh,0,1,0
2.0,,6,0,0,33.33,1,bowled,1,Nagpur,10-Nov-19,T20I,Bangladesh,0,0,0
6.0,,14,1,0,42.85,2,caught,2,Indore,14-Nov-19,Test,Bangladesh,0,0,0
21.0,,35,2,1,60,2,lbw,2,Eden Gardens,22-Nov-19,Test,Bangladesh,0,0,0
8.0,,10,1,0,80,1,caught,2,Hyderabad,06-Dec-19,T20I,West Indies,0,0,0
15.0,,18,2,0,83.33,1,bowled,1,Thiruvananthapuram,08-Dec-19,T20I,West Indies,0,0,0
71.0,,34,6,5,208.82,1,caught,1,Wankhede,11-Dec-19,T20I,West Indies,0,1,0
36.0,,56,6,0,64.28,1,caught,1,Chennai,15-Dec-19,ODI,West Indies,0,0,0
159.0,,138,17,5,115.21,1,caught,1,Visakhapatnam,18-Dec-19,ODI,West Indies,1,0,0
63.0,,63,8,1,100,1,caught,2,Cuttack,22-Dec-19,ODI,West Indies,0,1,0
10.0,,15,2,0,66.66,1,caught,1,Wankhede,14-Jan-20,ODI,Australia,0,0,0
42.0,,44,6,0,95.45,1,lbw,1,Rajkot,17-Jan-20,ODI,Australia,0,0,0
119.0,,128,8,6,92.96,1,caught,2,Bengaluru,19-Jan-20,ODI,Australia,1,0,0
7.0,,6,0,1,116.66,1,caught,2,Auckland,24-Jan-20,T20I,New Zealand,0,0,0
8.0,3,6,2,0,133.33,1,caught,2,Auckland,26-Jan-20,T20I,New Zealand,0,0,0
65.0,50,40,6,3,162.5,1,caught,1,Hamilton,29-Jan-20,T20I,New Zealand,0,1,0
60.0,,41,3,3,146.34,3,retired notout,1,Mount Maunganui,02-Feb-20,T20I,New Zealand,0,1,0
26.0,110,77,3,1,33.76,1,caught,2,Sydney,07-Jan-21,Test,Australia,0,0,0
52.0,137,98,5,1,53.06,1,caught,4,Sydney,07-Jan-21,Test,Australia,0,1,0
44.0,90,74,6,0,59.45,1,caught,2,Brisbane,15-Jan-21,Test,Australia,0,0,0
7.0,34,21,1,0,33.33,1,caught,4,Brisbane,15-Jan-21,Test,Australia,0,0,0
6.0,15,9,1,0,66.66,1,caught,2,Chennai,05-Feb-21,Test,England,0,0,0
12.0,23,20,1,1,60,1,bowled,4,Chennai,05-Feb-21,Test,England,0,0,0
161.0,327,231,18,2,69.69,1,caught,1,Chennai,13-Feb-21,Test,England,1,0,0
26.0,91,70,2,1,37.14,1,stumped,3,Chennai,13-Feb-21,Test,England,0,0,0
66.0,208,96,11,0,68.75,1,lbw,2,Ahmedabad,24-Feb-21,Test,England,0,1,0
25.0,26,25,3,1,100,1,not out,4,Ahmedabad,24-Feb-21,Test,England,0,0,0
49.0,235,144,7,0,34.02,2,lbw,2,Ahmedabad,04-Mar-21,Test,England,0,0,0
15.0,22,17,2,0,88.23,1,caught,1,Ahmedabad,16-Mar-21,T20I,England,0,0,0
12.0,17,12,1,1,100,1,caught,1,Ahmedabad,18-Mar-21,T20I,England,0,0,0
64.0,42,34,4,5,188.23,1,bowled,1,Ahmedabad,20-Mar-21,T20I,England,0,1,0
28.0,79,42,4,0,66.66,1,caught,1,Pune,23-Mar-21,ODI,England,0,0,0
25.0,38,25,5,0,100,1,caught,1,Pune,26-Mar-21,ODI,England,0,0,0
37.0,71,37,6,0,100,1,bowled,1,Pune,28-Mar-21,ODI,England,0,0,0
34.0,88,68,6,0,50,1,caught,1,Southampton,18-Jun-21,Test,New Zealand,0,0,0
30.0,121,81,2,0,37.03,1,lbw,3,Southampton,18-Jun-21,Test,New Zealand,0,0,0
36.0,175,107,6,0,33.64,1,caught,2,Nottingham,04-Aug-21,Test,England,0,0,0
12.0,,34,0,0,35.29,2,not out,4,Nottingham,04-Aug-21,Test,England,0,0,0
83.0,185,145,11,1,57.24,1,bowled,1,Lord's,12-Aug-21,Test,England,0,1,0
21.0,60,36,2,1,58.33,2,caught,3,Lord's,12-Aug-21,Test,England,0,0,0
19.0,172,105,1,0,18.09,1,caught,1,Leeds,25-Aug-21,Test,England,0,0,0
59.0,221,156,7,1,37.82,1,lbw,3,Leeds,25-Aug-21,Test,England,0,1,0
11.0,43,27,1,0,40.74,1,caught,1,The Oval,02-Sep-21,Test,England,0,0,0
127.0,353,256,14,1,49.6,1,caught,3,The Oval,02-Sep-21,Test,England,1,0,0
0.0,6,1,0,0,0,2,lbw,1,Dubai (DICS),24-Oct-21,T20I,Pakistan,0,0,0
14.0,23,14,1,1,100,3,caught,1,Dubai (DICS),31-Oct-21,T20I,New Zealand,0,0,0
74.0,78,47,8,3,157.44,2,caught,1,Abu Dhabi,03-Nov-21,T20I,Afghanistan,0,1,0
30.0,29,16,5,1,187.5,2,lbw,2,Dubai (DICS),05-Nov-21,T20I,Scotland,0,0,0
56.0,46,37,7,2,151.35,2,caught,2,Dubai (DICS),08-Nov-21,T20I,Namibia,0,1,0
48.0,63,36,5,2,133.33,2,caught,2,Jaipur,17-Nov-21,T20I,New Zealand,0,0,0
55.0,90,36,1,5,152.77,2,caught,2,Ranchi,19-Nov-21,T20I,New Zealand,0,1,0
56.0,60,31,5,3,180.64,1,caught,1,Eden Gardens,21-Nov-21,T20I,New Zealand,0,1,0
60.0,60,51,10,1,117.64,1,lbw,2,Ahmedabad,06-Feb-22,ODI,West Indies,0,1,0
5.0,14,8,0,0,62.5,1,caught,1,Ahmedabad,09-Feb-22,ODI,West Indies,0,0,0
13.0,20,15,3,0,86.66,1,bowled,1,Ahmedabad,11-Feb-22,ODI,West Indies,0,0,0
40.0,37,19,4,3,210.52,1,caught,2,Eden Gardens,16-Feb-22,T20I,West Indies,0,0,0
19.0,39,18,2,1,105.55,1,caught,1,Eden Gardens,18-Feb-22,T20I,West Indies,0,0,0
7.0,25,15,0,0,46.66,4,bowled,1,Eden Gardens,20-Feb-22,T20I,West Indies,0,0,0
44.0,58,32,2,1,137.5,1,bowled,1,Lucknow,24-Feb-22,T20I,Sri Lanka,0,0,0
1.0,5,2,0,0,50,1,bowled,2,Dharamsala,26-Feb-22,T20I,Sri Lanka,0,0,0
5.0,8,9,1,0,55.55,2,caught,2,Dharamsala,27-Feb-22,T20I,Sri Lanka,0,0,0
29.0,52,28,6,0,103.57,2,caught,1,Mohali,04-Mar-22,Test,Sri Lanka,0,0,0
15.0,51,25,1,1,60,2,caught,1,Bengaluru,12-Mar-22,Test,Sri Lanka,0,0,0
46.0,126,79,4,0,58.22,2,caught,3,Bengaluru,12-Mar-22,Test,Sri Lanka,0,0,0
24.0,14,14,5,0,171.42,1,caught,1,Southampton,07-Jul-22,T20I,England,0,0,0
31.0,26,20,3,2,155,1,caught,1,Birmingham,09-Jul-22,T20I,England,0,0,0
11.0,26,12,2,0,91.66,1,caught,2,Nottingham,10-Jul-22,T20I,England,0,0,0
76.0,79,58,7,5,131.03,1,not out,2,The Oval,12-Jul-22,ODI,England,0,1,0
0.0,12,10,0,0,0,1,lbw,2,Lord's,14-Jul-22,ODI,England,0,0,0
17.0,22,17,4,0,100,1,caught,2,Manchester,17-Jul-22,ODI,England,0,0,0
64.0,77,44,7,2,145.45,1,caught,1,Tarouba,29-Jul-22,T20I,West Indies,0,1,0
0.0,2,1,0,0,0,1,caught,1,Basseterre,01-Aug-22,T20I,West Indies,0,0,0
11.0,7,5,1,1,220,1,retired notout,2,Basseterre,02-Aug-22,T20I,West Indies,0,0,0
33.0,24,16,2,3,206.25,1,bowled,1,Lauderhill,06-Aug-22,T20I,West Indies,0,0,0
12.0,44,18,0,1,66.66,1,caught,2,Dubai (DICS),28-Aug-22,T20I,Pakistan,0,0,0
21.0,28,13,2,1,161.53,2,caught,1,Dubai (DICS),31-Aug-22,T20I,Hong Kong,0,0,0
28.0,27,16,3,2,175,2,caught,1,Dubai (DICS),04-Sep-22,T20I,Pakistan,0,0,0
72.0,70,41,5,4,175.6,2,caught,1,Dubai (DICS),06-Sep-22,T20I,Sri Lanka,0,1,0
11.0,13,9,1,1,122.22,2,caught,1,Mohali,20-Sep-22,T20I,Australia,0,0,0
46.0,,20,4,4,230,2,not out,2,Nagpur,23-Sep-22,T20I,Australia,0,0,0
17.0,19,14,2,1,121.42,2,caught,2,Hyderabad,25-Sep-22,T20I,Australia,0,0,0
0.0,14,2,0,0,0,2,caught,2,Thiruvananthapuram,28-Sep-22,T20I,South Africa,0,0,0
43.0,50,37,7,1,116.21,2,caught,1,Guwahati,02-Oct-22,T20I,South Africa,0,0,0
0.0,3,2,0,0,0,1,bowled,2,Indore,04-Oct-22,T20I,South Africa,0,0,0
4.0,20,7,0,0,57.14,2,caught,2,Melbourne,23-Oct-22,T20I,Pakistan,0,0,0
53.0,53,39,4,3,135.89,2,caught,1,Sydney,27-Oct-22,T20I,Netherlands,0,1,0
15.0,22,14,1,1,107.14,2,caught,1,Perth,30-Oct-22,T20I,South Africa,0,0,0
2.0,18,8,0,0,25,2,caught,1,Adelaide,02-Nov-22,T20I,Bangladesh,0,0,0
15.0,20,13,2,0,115.38,2,caught,1,Melbourne,06-Nov-22,T20I,Zimbabwe,0,0,0
27.0,37,28,4,0,96.42,2,caught,1,Adelaide,10-Nov-22,T20I,England,0,0,0
27.0,47,31,4,1,87.09,1,bowled,1,Mirpur,04-Dec-22,ODI,Bangladesh,0,0,0
51.0,40,28,3,5,182.14,9,not out,2,Mirpur,07-Dec-22,ODI,Bangladesh,0,1,0
83.0,105,67,9,3,123.88,1,bowled,1,Guwahati,10-Jan-23,ODI,Sri Lanka,0,1,0
17.0,23,21,2,1,80.95,1,caught,2,Eden Gardens,12-Jan-23,ODI,Sri Lanka,0,0,0
42.0,63,49,2,3,85.71,1,caught,1,Thiruvananthapuram,15-Jan-23,ODI,Sri Lanka,0,0,0
34.0,49,38,4,2,89.47,1,caught,1,Hyderabad,18-Jan-23,ODI,New Zealand,0,0,0
51.0,65,50,7,2,102,1,lbw,2,Raipur,21-Jan-23,ODI,New Zealand,0,1,0
101.0,113,85,9,6,118.82,1,bowled,1,Indore,24-Jan-23,ODI,New Zealand,1,0,0
120.0,344,212,15,2,56.6,1,bowled,2,Nagpur,09-Feb-23,Test,Australia,1,0,0
32.0,95,69,2,0,46.37,1,bowled,2,Delhi,17-Feb-23,Test,Australia,0,0,0
31.0,31,20,3,2,155,1,run out,4,Delhi,17-Feb-23,Test,Australia,0,0,0
12.0,27,23,3,0,52.17,1,stumped,1,Indore,01-Mar-23,Test,Australia,0,0,0
12.0,61,33,0,0,36.36,1,lbw,3,Indore,01-Mar-23,Test,Australia,0,0,0
35.0,92,58,3,1,60.34,1,caught,2,Ahmedabad,09-Mar-23,Test,Australia,0,0,0
13.0,24,15,2,0,86.66,1,caught,1,Visakhapatnam,19-Mar-23,ODI,Australia,0,0,0
30.0,44,17,2,2,176.47,1,caught,2,Chennai,22-Mar-23,ODI,Australia,0,0,0
15.0,29,26,2,0,57.69,1,lbw,2,The Oval,07-Jun-23,Test,Australia,0,0,0
43.0,103,60,7,1,71.66,1,lbw,4,The Oval,07-Jun-23,Test,Australia,0,0,0
103.0,303,221,10,2,46.6,2,caught,2,Roseau,12-Jul-23,Test,West Indies,1,0,0
80.0,180,143,9,2,55.94,2,bowled,1,Port of Spain,20-Jul-23,Test,West Indies,0,1,0
57.0,59,44,5,3,129.54,2,caught,3,Port of Spain,20-Jul-23,Test,West Indies,0,1,0
12.0,17,19,2,0,63.15,7,not out,2,Bridgetown,27-Jul-23,ODI,West Indies,0,0,0
11.0,25,22,2,0,50,1,bowled,1,Pallekele,02-Sep-23,ODI,Pakistan,0,0,0
74.0,87,59,6,5,125.42,1,not out,2,Pallekele,04-Sep-23,ODI,Nepal,0,1,0
56.0,77,49,6,4,114.28,1,caught,1,Colombo (RPS),10-Sep-23,ODI,Pakistan,0,1,0
53.0,73,48,7,2,110.41,1,bowled,1,Colombo (RPS),12-Sep-23,ODI,Sri Lanka,0,1,0
0.0,3,2,0,0,0,1,caught,2,Colombo (RPS),15-Sep-23,ODI,Bangladesh,0,0,0
,,,,,,,,2,Colombo (RPS),17-Sep-23,ODI,Sri Lanka,0,0,0
81.0,94,57,5,6,142.1,1,caught,2,Rajkot,27-Sep-23,ODI,Australia,0,1,0
0.0,10,6,0,0,0,1,lbw,2,Chennai,08-Oct-23,ODI,Australia,0,0,0
131.0,111,84,16,5,155.95,1,bowled,2,Delhi,11-Oct-23,ODI,Afghanistan,1,0,0
86.0,91,63,6,6,136.5,1,caught,2,Ahmedabad,14-Oct-23,ODI,Pakistan,0,1,0
48.0,51,40,7,2,120,1,caught,2,Pune,19-Oct-23,ODI,Bangladesh,0,0,0
46.0,44,40,4,4,115,1,bowled,2,Dharamsala,22-Oct-23,ODI,New Zealand,0,0,0
87.0,162,101,10,3,86.13,1,caught,1,Lucknow,29-Oct-23,ODI,England,0,1,0
4.0,2,2,1,0,200,1,bowled,1,Wankhede,02-Nov-23,ODI,Sri Lanka,0,0,0
40.0,32,24,6,2,166.66,1,caught,1,Eden Gardens,05-Nov-23,ODI,South Africa,0,0,0
61.0,74,54,8,2,112.96,1,caught,1,Bengaluru,12-Nov-23,ODI,Netherlands,0,1,0
47.0,40,29,4,4,162.06,1,caught,1,Wankhede,15-Nov-23,ODI,New Zealand,0,0,0
47.0,44,31,4,3,151.61,1,caught,1,Ahmedabad,19-Nov-23,ODI,Australia,0,0,0
5.0,20,14,1,0,35.71,2,caught,1,Centurion,26-Dec-23,Test,South Africa,0,0,0
0.0,10,8,0,0,0,2,bowled,3,Centurion,26-Dec-23,Test,South Africa,0,0,0
39.0,68,50,7,0,78,2,caught,2,Cape Town,03-Jan-24,Test,South Africa,0,0,0
16.0,57,22,2,0,72.72,2,not out,4,Cape Town,03-Jan-24,Test,South Africa,0,0,0
0.0,1,2,0,0,0,1,run out,2,Mohali,11-Jan-24,T20I,Afghanistan,0,0,0
0.0,6,1,0,0,0,2,bowled,2,Indore,14-Jan-24,T20I,Afghanistan,0,0,0
121.0,103,69,11,8,175.36,2,not out,1,Bengaluru,17-Jan-24,T20I,Afghanistan,1,0,0
24.0,53,27,3,0,88.88,2,caught,2,Hyderabad,25-Jan-24,Test,England,0,0,0
39.0,76,58,7,0,67.24,1,lbw,4,Hyderabad,25-Jan-24,Test,England,0,0,0
14.0,68,41,0,0,34.14,2,caught,1,Visakhapatnam,02-Feb-24,Test,England,0,0,0
13.0,28,21,3,0,61.9,2,bowled,3,Visakhapatnam,02-Feb-24,Test,England,0,0,0
131.0,292,196,14,3,66.83,2,caught,1,Rajkot,15-Feb-24,Test,England,1,0,0
19.0,48,28,3,0,67.85,2,lbw,3,Rajkot,15-Feb-24,Test,England,0,0,0
2.0,11,9,0,0,22.22,2,caught,2,Ranchi,23-Feb-24,Test,England,0,0,0
55.0,99,81,5,1,67.9,1,caught,4,Ranchi,23-Feb-24,Test,England,0,1,0
103.0,250,162,13,3,63.58,2,bowled,2,Dharamsala,07-Mar-24,Test,England,1,0,0
52.0,48,37,4,3,140.54,1,retired notout,2,New York,05-Jun-24,T20I,Ireland,0,1,0
13.0,15,12,1,1,108.33,1,caught,1,New York,09-Jun-24,T20I,Pakistan,0,0,0
3.0,12,6,0,0,50,1,caught,2,New York,12-Jun-24,T20I,U.S.A.,0,0,0
8.0,13,13,1,0,61.53,1,caught,1,Bridgetown,20-Jun-24,T20I,Afghanistan,0,0,0
23.0,14,11,3,1,209.09,1,caught,1,North Sound,22-Jun-24,T20I,Bangladesh,0,0,0
92.0,59,41,7,8,224.39,1,bowled,1,Gros Islet,24-Jun-24,T20I,Australia,0,1,0
57.0,57,39,6,2,146.15,1,bowled,1,Providence,27-Jun-24,T20I,England,0,1,0
9.0,7,5,2,0,180,1,caught,1,Bridgetown,29-Jun-24,T20I,South Africa,0,0,0
